Wyoming,Heron,10001,85526
New_Jerse,Fox,10002,55063
Netherlan,Pristioph,10003,95307
North_Car,American_,10004,68766
Sweden,Ostrich,10005,34842
TRINIDAD_,Black_pan,10006,6570
Saudi_Ara,Jackal,10007,85058
Japan,Triaenodo,10008,13523
Georgia,Lion,10009,69173
Netherlan,Polecat,10010,63636
Turkey,Gerbil,10011,55680
New_Mexic,Goldfinch,10012,45440
Ukraine,Sheep,10013,60364
Missouri,Columbida,10014,85378
Slovakia,Gorilla,10015,48423
Pennsylva,Chamois,10016,91219
Tuvalu,Scoliodon,10017,92305
Wisconsin,Fox,10018,43688
NEW_ZEALA,Sphyrna_l,10019,43201
Thailand,Flamingo,10020,60630
Texas,Anatidae,10021,77816
Missouri,Zebra,10022,93882
Californi,Isogompho,10023,56339
Rhode_Isl,Sawshark,10024,29239
Ghana,Hornet,10025,33857
Pennsylva,Triakis,10026,97231
Cyprus,Heron,10027,22520
Croatia,Cormorant,10028,78712
Tunisia,Crow,10029,75679
Switzerla,Ram,10030,49697
Mississip,Parascyll,10031,62109
Greece,Triakis,10032,85296
Massachus,Triakis,10033,87397
MARSHALL_,Parmaturu,10034,97768
Sweden,Fish,10035,94581
EQUATORIA,Apristuru,10036,99556
Tonga,Chiloscyl,10037,72188
Dominica,Skunk,10038,46764
Georgia,Badger,10039,65943
Tanzania,Hornet,10040,70896
Wisconsin,Whale_Sha,10041,46228
Illinois,Cheetah,10042,54771
Japan,Chiloscyl,10043,13889
Spain,Swan,10044,3535
Hawaii,Sphyrna_l,10045,47353
Hawaii,Alligator,10046,71617
Vatican_C,Jackal,10047,74719
Turkey,Carcharhi,10048,41119
South_Car,Fox,10049,44127
Jordan,Swan,10050,78277
North_Car,Lamna,10051,918
Saudi_Ara,Hornet,10052,70861
Taiwan,Apristuru,10053,61291
Tennessee,Partridge,10054,86952
Monaco,Partridge,10055,18984
Illinois,Alligator,10056,48230
Australia,Baboon,10057,44810
Italy,Donkey,10058,22316
South_Car,Squalifor,10059,3632
COSTA_RIC,Fish,10060,59624
Ethiopia,Flamingo,10061,1296
DOMINICAN,Poroderma,10062,65572
South_Car,Hamster,10063,14405
Oregon,Prionace_,10064,22851
Croatia,Sheep,10065,27628
South_Car,Pristioph,10066,47026
Ghana,Camel,10067,71018
Slovenia,Heron,10068,78611
Louisiana,Hornet,10069,49807
Washingto,Squalifor,10070,48106
Morocco,Snipe,10071,22612
Wyoming,Reindeer,10072,38644
Barbados,Fox,10073,15344
Zambia,Columbida,10074,12387
Sweden,Pristioph,10075,32568
Kiribati,Chamois,10076,64262
Tunisia,Crow,10077,13110
Wyoming,Hemiscyll,10078,75296
Romania,Triaenodo,10079,25678
Slovakia,Lion,10080,81423
Massachus,Alligator,10081,44103
Tunisia,American_,10082,96454
Italy,Sawshark,10083,62014
Maryland,Fox,10084,64041
Ethiopia,Snipe,10085,89030
Cyprus,Nightinga,10086,49987
Georgia,Whale_Sha,10087,29844
NEW_ZEALA,Triakis,10088,31529
France,Otter,10089,27344
Taiwan,Sphyrna_l,10090,66917
Switzerla,Badger,10091,70562
Ireland,Ram,10092,39056
Malaysia,Pristioph,10093,55486
Louisiana,Quail,10094,37591
Cyprus,Hornet,10095,36007
Minnesota,Pygmy_Sha,10096,6521
Tonga,Triakis,10097,22850
Californi,Sphyrna_l,10098,86573
Colombia,Giant_Pan,10099,35553
Uruguay,Nightinga,10100,55978
Vatican_C,Triakis,10101,73927
Virginia,Partridge,10102,97985
Tonga,Snipe,10103,52757
Zimbabwe,Cobra,10104,51120
Tonga,Gazelle,10105,55286
Ethiopia,Badger,10106,6274
Thailand,Dolphin,10107,44050
Australia,Chiloscyl,10108,52447
Mozambiqu,Parmaturu,10109,85797
Namibia,Pony,10110,3464
Michigan,Reindeer,10111,33299
Croatia,Isogompho,10112,93034
Nebraska,Carcharhi,10113,86031
Oregon,Otter,10114,13319
Greece,Giant_Pan,10115,74742
MARSHALL_,Isurus,10116,23494
Malta,Reindeer,10117,71841
Nigeria,Pony,10118,71546
Lithuania,American_,10119,94884
Tennessee,Angel_sha,10120,48462
Florida,Pony,10121,39529
Nigeria,Lion,10122,64394
Arizona,Goose,10123,33394
Maine,Raven,10124,64133
Canada,Lamna,10125,25613
Denmark,Crow,10126,70547
Colombia,Isogompho,10127,24756
DOMINICAN,Hemiscyll,10128,2889
Nauru,Guanaco,10129,73192
Sweden,Cheetah,10130,94727
Madagasca,Mule,10131,81058
Colombia,Coyote,10132,13799
Slovenia,Pony,10133,72499
EL_SALVAD,Jaguar,10134,51441
Georgia,Pinniped,10135,27557
Lithuania,Pelican,10136,78794
Vatican_C,Bison,10137,5175
Virginia,Gerbil,10138,35906
Ecuador,Camel,10139,76411
Nepal,Cobra,10140,2231
Massachus,Scoliodon,10141,176
Zambia,Chiloscyl,10142,22522
Maine,Guanaco,10143,48351
Ukraine,Sawshark,10144,77491
South_Car,Bison,10145,98839
Romania,Triakis,10146,10824
Mississip,Pony,10147,58842
Hawaii,Chiloscyl,10148,72089
Croatia,Pygmy_Sha,10149,67617
Nigeria,Sheep,10150,21929
Nigeria,Wombat,10151,56851
Uzbekista,Goose,10152,57711
Maine,Wombat,10153,35098
Rhode_Isl,Cheetah,10154,92173
Illinois,Badger,10155,75280
Nigeria,Columbida,10156,82672
Croatia,Snipe,10157,17846
Rhode_Isl,Isurus,10158,46784
Saudi_Ara,Human,10159,86292
Nauru,Hornet,10160,67850
Tonga,Donkey,10161,30556
Malaysia,Hyena,10162,11795
WESTERN_S,Gazelle,10163,49944
Denmark,Scoliodon,10164,59349
Serbia,Carcharhi,10165,70258
Mississip,Nightinga,10166,78717
Namibia,Mule,10167,43497
Virginia,Donkey,10168,90384
Barbados,Prionace,10169,41015
Croatia,Sawshark,10170,56982
South_Car,Cheetah,10171,42303
Luxembour,Dolphin,10172,54205
Wyoming,Black_pan,10173,11696
Guatemala,Manatee,10174,63538
Turkey,Donkey,10175,92001
Massachus,Parmaturu,10176,24508
North_Car,Partridge,10177,61545
Namibia,Bison,10178,95425
Sudan,Lion,10179,6727
Serbia,Chamois,10180,94185
Tonga,Columbida,10181,31602
Tonga,Dogfish,10182,7738
Monaco,Peafowl,10183,27670
Michigan,Hyena,10184,48320
Maine,Bison,10185,91430
Nauru,Wren,10186,34184
Switzerla,Hawk,10187,34052
Wisconsin,Whale_Sha,10188,83033
Nigeria,Scoliodon,10189,23801
Uruguay,Mule,10190,67557
Kiribati,Carcharhi,10191,16410
Arizona,Lamniform,10192,68186
Texas,American_,10193,43094
Denmark,Quail,10194,24
Ecuador,Black_pan,10195,56129
MARSHALL_,Magpie,10196,87490
Uzbekista,Lion,10197,12006
Texas,Gazelle,10198,93430
Canada,Parascyll,10199,3916
Florida,Columbida,10200,72740
Pennsylva,Parmaturu,10201,84089
TRINIDAD_,Donkey,10202,63930
Malawi,Angel_sha,10203,18351
Malaysia,Coyote,10204,55118
Michigan,Alligator,10205,19853
MARSHALL_,Whale_Sha,10206,63713
Taiwan,Beaver,10207,47278
Japan,Jaguar,10208,61972
COSTA_RIC,Black_pan,10209,98312
Tunisia,Flamingo,10210,77843
Monaco,Snipe,10211,95998
Ukraine,Carcharhi,10212,51942
Oregon,Bullhead_,10213,5841
North_Car,Swan,10214,14503
WESTERN_S,Anatidae,10215,90490
Uruguay,Wren,10216,92334
Sudan,Wren,10217,36822
New_Mexic,Echinorhi,10218,9463
